user_language,q2,q3,q4,q5,q6,q8,q9,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q18,q19,q20,q21,q22,q23,q24,q25_1,q25_2,q25_3,q26,q27_1,q27_2,q27_3,q28,q29,q30,q31,q38,q45_1,fl_15_do,tolerant_engagement_forums_invitation_do,federalism_do
AMH,Yes,NA,Yes,Urban,No,Addis Ababa,Other,3,NA,1,A few times a week,Every day,A few times a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Not a member,Not a member,Not a member,Active member,No,No,No,Yes,0,10,5,Neither agree nor disagree,I agree with neither,I agree with neither,I agree with B,I agree strongly with A,I agree with neither,Strongly agree,Strongly like,Neither like nor dislike,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",I don't know my plans yet,NA,NA,4,Very interested,1,FL_18,Q34,Q40|Q44|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Prefer not to say,2,NA,NA,Never,Less than once a month,Never,A few times a month,Never,Never,Never,Once or Twice,Never,Never,Never,Never,More than 5 times,Once or Twice,More than twice,More than 10 times,More than twice,Not a member,Not a member,Not a member,Inactive member,Yes,No,No,Yes,6,5,5,Strongly disagree,I agree with B,I agree with A,I agree with neither,I agree with neither,I agree with neither,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,1,Very uninterested,5,FL_17,Q35,Q40|Q41|Q45
AMH,Yes,Male,Yes,Urban,Yes,Oromia Region,Amhara,1,NA,3,A few times a week,A few times a week,Less than once a month,Every day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than 5 times,Never,Not a member,Not a member,Not a member,Not a member,No,No,No,Yes,0,10,10,Strongly disagree,I agree strongly with B,I agree with neither,I agree strongly with B,I agree strongly with A,I agree strongly with B,Neither agree nor disagree,Strongly like,Neither like nor dislike,Somewhat like,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,3,Very interested,7,FL_18,Q37,Q40|Q43|Q45
EN,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,Yes,Male,Yes,Rural,Yes,Oromia Region,"Amhara,Oromo,Welayta",1,2,3,A few times a month,Less than once a month,A few times a week,Every day,Less than once a month,More than 10 times,Once or Twice,More than 10 times,Once or Twice,Once or Twice,More than 10 times,More than 10 times,More than 10 times,Never,More than 5 times,Never,Once or Twice,Not a member,Not a member,Prefer not to say,Active member,No,No,No,Yes,2,10,10,Strongly disagree,I agree strongly with B,I agree with A,I agree strongly with B,I agree strongly with A,I agree strongly with B,Strongly agree,Strongly like,Strongly like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,"Job opportunities,Other educational opportunities,Other",50,Very interested,7,FL_18,Q35,Q40|Q42|Q45
AMH,Yes,Male,Yes,Urban,No,Addis Ababa,"Amhara,Oromo",1,2,3,Never,A few times a month,Less than once a month,Every day,Never,More than 10 times,NA,More than 5 times,Once or Twice,Once or Twice,Once or Twice,Once or Twice,More than 5 times,Never,Once or Twice,More than 5 times,More than 5 times,Not a member,Not a member,Not a member,Official leader,No,No,No,Yes,5,10,9,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with A,I agree strongly with A,I agree with neither,Neither agree nor disagree,Strongly like,Somewhat like,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,10,Very interested,7,FL_17,Q34,Q40|Q42|Q45
AMH,Yes,Male,Yes,Urban,Yes,Addis Ababa,"Amhara,Oromo",1,2,3,A few times a month,A few times a month,A few times a month,Never,A few times a week,More than 5 times,Never,More than 10 times,Never,More than twice,Never,Once or Twice,Once or Twice,NA,NA,Never,Once or Twice,Not a member,Not a member,Not a member,NA,No,No,No,NA,0,10,5,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree with B,I agree with A,I agree strongly with B,Neither agree nor disagree,Neither like nor dislike,Neither like nor dislike,Neither like nor dislike,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",I don't know my plans yet,NA,NA,40,Very interested,7,FL_18,Q35,Q40|Q41|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,A few times a week,A few times a week,A few times a week,Every day,Never,More than 5 times,Never,More than 10 times,Once or Twice,Once or Twice,Once or Twice,More than twice,More than twice,Once or Twice,Once or Twice,Never,Once or Twice,Inactive member,Not a member,Not a member,Active member,Yes,No,No,Yes,5,10,10,Strongly disagree,I agree with B,I agree strongly with A,I agree with B,I agree with B,I agree with A,Strongly disagree,Strongly like,Somewhat like,Strongly like,Civil society (private not-for-profit organizations),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind","Yes, I plan to move to another region",Job opportunities,NA,5,Very interested,6,FL_17,Q35,Q40|Q44|Q45
AMH,Yes,Male,No,Urban,Yes,Oromia Region,Oromo,1,2,3,A few times a week,Every day,Every day,Every day,A few times a week,More than twice,More than 10 times,More than 5 times,Never,Never,Never,Never,More than twice,Never,Never,Never,Once or Twice,Inactive member,Not a member,Not a member,Not a member,Yes,No,No,No,0,10,10,Strongly disagree,I agree strongly with B,I agree strongly with A,I agree strongly with A,I agree with A,I agree strongly with B,Agree,Somewhat like,Somewhat like,Somewhat like,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",I don't know my plans yet,NA,NA,5,Very interested,4,FL_17,Q35,Q40|Q43|Q45
EN,Yes,Female,No,Urban,Yes,Addis Ababa,Amhara,1,2,3,Less than once a month,Every day,Every day,Every day,Never,Never,Never,Never,Never,Once or Twice,Once or Twice,Never,Never,Never,Once or Twice,Once or Twice,Once or Twice,Not a member,Not a member,Not a member,Inactive member,No,No,No,Yes,0,10,10,Strongly disagree,I agree with B,I agree with B,I agree with B,I agree with A,I agree with B,Strongly disagree,Strongly like,Somewhat dislike,Strongly like,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind","No, I plan to stay in Addis",NA,Job opportunities,15,Very interested,10,FL_18,Q35,Q40|Q41|Q45
