qualtrics_name,description,values
user_language,User Language,"AMH, EN, AFAN_OROMO, SO"
q2,Do you agree to participate in the survey?,"Yes, No"
q3,How do you describe your gender?,"Female, Male"
q4,Do you work to support yourself while you are a student?,"Yes, No"
q5,"Thinking about where you grew up, would you say your upbringing was mostly Urban or Rural?","Urban, Rural"
q6,Do you receive financial support from your parents or other members of your family to help pay your tuition or living expenses?,"No, Yes"
q8,"Before coming to AAU, which of Ethiopia’s 13 regions did you reside in? - Selected Choice","Addis Ababa, Oromia Region, Other, Tigray Region, Dire Dawa (city), Amhara Region, Sidama Region, Southern Nations, Nationalities, and Peoples Region, Somali Region, Harari Region, Prefer not to say, Benishangul-Gumuz Region, South West Ethiopia Peoples Region, Afar Region, Gambela Region"
q9,"Thinking about your family heritage, what is the ethnic community, cultural group, or tribe that your family belongs to? If your family comes from multiple groups, you may select more than one. - Selected Choice","Other, Prefer not to say, Amhara, Amhara,Oromo,Welayta, Amhara,Oromo, Oromo, Guragie,Oromo, Amhara,Tigre, Tigre, Amhara,Guragie,Oromo,Tigre, Guragie, Sidama, Adere (Harari),Amhara,Oromo, Adere (Harari),Amhara, Silte,Other, Amhara,Guragie, Kembata, Silte, Amhara,Prefer not to say, Amhara,Other, Welayta, Adere (Harari), Guragie,Welayta, Somali, Amhara,Guragie,Oromo,Silte, Gamo, Hadiya, Amhara,Guragie,Oromo, Amhara,Oromo,Tigre, Oromo,Other, Gamo,Kaffa, Amhara,Guragie,Oromo,Somali, Guragie,Hadiya, Prefer not to say,Other, Hadiya,Kembata, Hadiya,Other, Gamo,Welayta, Amhara,Oromo,Other, Welayta,Other, Amhara,Silte, Amhara,Hadiya, Shinasha, Gamo,Oromo, Amhara,Tigre,Other, Oromo,Sidama, Guragie,Tigre, Amhara,Welayta, Adere (Harari),Afar,Amhara,Oromo,Tigre, Amhara,Oromo,Prefer not to say, Sidama,Other, Guragie,Oromo,Prefer not to say, Gedeo,Oromo, Amhara,Hadiya,Kembata, Amhara,Guragie,Hadiya, Amhara,Kembata,Oromo, Kembata,Oromo, Hadiya,Oromo, Gedeo, Oromo,Welayta, Kembata,Prefer not to say, Amhara,Guragie,Oromo,Other, Amhara,Oromo,Tigre,Other, Nuer, Kaffa, Oromo,Tigre, Amhara,Oromo,Sidama,Welayta, Oromo,Somali, Adere (Harari),Oromo, Amhara,Gumuz, Agnawak"
q10_1,"Most people have different identities or groups that they identify with. Some Ethiopians identify most strongly with their region, others with their ethnic community, while others identify most strongly with the country as a whole. Looking at the three identities below, please rank them from ""1"" to ""3"", where ""1"" is your most important identity and ""3"" is your least important identity. - Ethiopian","3, 2, 1"
q10_2,"Most people have different identities or groups that they identify with. Some Ethiopians identify most strongly with their region, others with their ethnic community, while others identify most strongly with the country as a whole. Looking at the three identities below, please rank them from ""1"" to ""3"", where ""1"" is your most important identity and ""3"" is your least important identity. - My home region","2, 3, 1"
q10_3,"Most people have different identities or groups that they identify with. Some Ethiopians identify most strongly with their region, others with their ethnic community, while others identify most strongly with the country as a whole. Looking at the three identities below, please rank them from ""1"" to ""3"", where ""1"" is your most important identity and ""3"" is your least important identity. - My ethnic group","1, 3, 2"
q11_1,How often do you get news from the following sources? - Radio,"A few times a week, Never, A few times a month, Less than once a month, Every day"
q11_2,How often do you get news from the following sources? - Television,"Every day, Less than once a month, A few times a week, A few times a month, Never"
q11_3,How often do you get news from the following sources? - Print or online newspapers,"A few times a month, Never, Less than once a month, A few times a week, Every day"
q11_4,"How often do you get news from the following sources? - Social media such as Facebook, Twitter, WhatsApp, or others","Every day, A few times a month, Never, A few times a week, Less than once a month"
q12,How often do you post or share something about politics or current events on social media?,"Never, Less than once a month, A few times a week, A few times a month, Every day"
q13_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Attended a community or student government meeting","Never, More than 10 times, More than 5 times, More than twice, Once or Twice"
q13_2,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Participated in a demonstration or protest","Never, Once or Twice, More than 10 times, More than twice, More than 5 times"
q13_3,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Attended an event organized by an NGO","Never, Once or Twice, More than 10 times, More than 5 times, More than twice"
q13_4,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Signed a petition","Never, Once or Twice, More than 5 times, More than twice, More than 10 times"
q13_5,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Contacted a government official to ask for help or make a complaint","Never, Once or Twice, More than twice, More than 10 times, More than 5 times"
q13_6,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Contacted a community or student government representative to ask for help or make a complaint","Never, More than 10 times, Once or Twice, More than twice, More than 5 times"
q13_7,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you have taken any of these actions during the past twelve months. - Contacted an NGO to ask for help or make a complaint","Never, More than 10 times, Once or Twice, More than twice, More than 5 times"
q14_1,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of time or economic resources","Never, More than 5 times, More than 10 times, Once or Twice, More than twice"
q14_2,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Fear of other people’s opinions","Never, Once or Twice, More than twice, More than 5 times, More than 10 times"
q14_3,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Fear of other consequences","Never, More than twice, More than 5 times, Once or Twice, More than 10 times"
