qualtrics_name,description,values
user_language,User Language,"EN, AMH, AFAN_OROMO"
q11_1,How often do you get news from the following sources? - Radio,"Never, A few times a month, Less than once a month, A few times a week, Every day"
q11_2,How often do you get news from the following sources? - Television,"A few times a week, A few times a month, Every day, Never, Less than once a month"
q11_3,How often do you get news from the following sources? - Print or online newspapers,"Every day, Less than once a month, A few times a month, Never, A few times a week"
q11_4,"How often do you get news from the following sources? - Social media such as Facebook, Twitter, WhatsApp, or others","Every day, A few times a month, A few times a week, Less than once a month, Never"
q12,How often do you post or share something about politics on social media?,"Never, Less than once a month, A few times a week, A few times a month, Every day"
q13_1_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Attended a community or student government meeting - How many times?","0, 1, 5, 2, 3, 10, 4, 6, 7, 9, 15, 25"
q13_2_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Participated in a demonstration or protest - How many times?","0, 1, 2, 3, 6, 4, 5, 15, 8, 7"
q13_3_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Attended an event organized by an NGO [do not count the TEF event] - How many times?","1, 0, 2, 3, 8, 5, 4, 10, 30, 6, 23, 20, 7, 13"
q13_4_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Signed a petition - How many times?","0, 1, 3, 2, 4, 5, 6, 10, 7, 12, 8, 30, 9"
q13_5_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Contacted a government official to ask for help or make a complaint - How many times?","0, 1, 5, 4, 3, 2, 9, 11, 10, 6, 7"
q13_6_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Contacted a community or student government representative to ask for help... - Contacted a community or student government representative to ask for help or make a complaint - How many times?","1, 0, 3, 2, 5, 6, 4, 10, 9, 12, 8"
q13_7_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Contacted an NGO to ask for help or make a complaint - How many times?","0, 2, 1, 6, 3, 4, 5, 9, 14"
q13_8_1,"Here is a list of actions that people sometimes take as citizens. For each of these, please tell me how many times you’ve taken any of these actions since June 20th, 2022. - Worked with or volunteered for an NGO or civil society organization - How many times?","1, 0, 2, 3, 8, 5, 6, 10, 4, 7, 30, 15, 20, 14, 23"
q14_1,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of time or economic resources","Often, Sometimes, Never, Always"
q14_2,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Fear of other people’s opinions","Often, Never, Sometimes, Always"
q14_3,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Fear of other consequences","Sometimes, Never, Often, Always"
q14_4,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of interest","Sometimes, Never, Often, Always"
q14_5,"When thinking about these kinds of actions, how often would you say you were prevented from doing them by the following obstacles: - Lack of information","Sometimes, Often, Always, Never"
q15_1,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - A religious group that meets outside of regular worship services","Not a member, Active member, Inactive member, Prefer not to say, Official leader"
q15_2,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - A group of people that share the same ethnicity or culture and meet regularly to discuss or advance the interests of the group.","Not a member, Prefer not to say, Active member, Inactive member, Official leader"
q15_3,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - An organization associated with a political party","Not a member, Prefer not to say, Inactive member, Official leader, Active member"
q15_4,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you are a CURRENT official leader, an active member, an inactive member, or not a member. - Some other voluntary association or community group (NGOs, idirs, etc.)","Not a member, Inactive member, Active member, Official leader, Prefer not to say"
q16_1,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member this academic year. - A religious group that meets outside of regular worship services","Not at all, Not likely, Somewhat likely, Very likely"
q16_2,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member this academic year. - A group of people that share the same ethnicity or culture and meet regularly to discuss or advance the interests of the group.","Not at all, Very likely, Not likely, Somewhat likely"
q16_3,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member this academic year. - An organization associated with a political party","Not likely, Somewhat likely, Not at all, Very likely"
q16_4,"Now I am going to read out a list of groups that people join or attend. For each one, could you tell me whether you INTEND to become a member this academic year. - Some other voluntary association or community group (NGOs, idirs, etc.)","Not likely, Somewhat likely, Very likely, Not at all"
q17_1,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - The youth in this country are given adequate opportunities to engage in social, economic and political affairs.","7, 1, 6, 0, 4, 5, 3, 9, 2, 8, 10"
q17_2,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - The active participation  of the youth in the social and political affairs of Ethiopia can help bring positive changes in the country.","10, 7, 9, 3, 8, 5, 0, 6, 2, 4, 1"
q17_3,"Please read the following statements and consider the extent to which you agree or disagree. Slide the bar to indicate your level of agreement, with 0 meaning that you do not agree at all with the statement and 10 meaning that you completely agree. - Your own personal participation in the social and political affairs of Ethiopia can help bring positive changes in the country.","1, 3, 7, 9, 10, 8, 6, 5, 0, 4, 2"
