user_language,q11_1,q11_2,q11_3,q11_4,q12,q13_1_1,q13_2_1,q13_3_1,q13_4_1,q13_5_1,q13_6_1,q13_7_1,q13_8_1,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q66,q10_1,q10_2,q10_3,q18,q19,q20,q67,q68_1,q68_2,q70,q93,q69,q71,q73,q22,q23,q74_1,q74_2,q76_1,q76_2,q80_1,q80_2,q80_3,q80_4,q81_1,q81_2,q81_3,q81_4,list_experiment,q26,q27_1,q27_2,q27_3,q97_1,q97_2,q92,q94,q108,q105,border_outcome,traits1a,traits1b,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,fl_15_do,sample,q3,q8,q8_15_text,q5,q9,q9_24_text,q126,q129,traits5a,traits5b,traits6a,traits6b,border_gamble,border_treat,border_loss,border_ethnic,border_resource
EN,A few times a month,A few times a week,A few times a month,Every day,Less than once a month,1,0,0,0,0,0,0,1,Never,Never,Never,Sometimes,Often,Not a member,Not a member,Not a member,Inactive member,Not at all,Not at all,Somewhat likely,NA,6,9,7,I participated in social work volunteering for an ngo that  help street mothers and children,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree strongly with B,Never,NA,Would not care,Would not care,Very frequently,Very frequently,Sometimes,Sometimes,Some,Some,Some,Just a little,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind",NA,Yes,Yes,Government A,Government B,Plan A,Plan A,Option 1,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|No|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,Yes|Yes|No|No|No|No|None|Appointed by Dialogue Commission,"Yes|Yes|Yes|Yes|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",No|No|No|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
AMH,Less than once a month,A few times a week,Every day,Every day,A few times a week,1,0,0,1,0,1,0,0,Often,Never,Often,Never,Sometimes,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,7,10,9,ፈተና የማራዘም አቤቱታ ፊሪማ ማሰባሰብ ላይ ተሳትፌያለሁ።,3,1,2,Strongly disagree,I agree with B,I agree strongly with B,I agree with B,Disagree,Disagree,Never,NA,Not at all,Not at all,I agree with A,I agree with A,I agree with B,Never,Never,Would not care,Somewhat dislike,Very frequently,Sometimes,Sometimes,Never,Some,Just a little,Just a little,Not at all,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,No,Government B,Government B,Plan A,Plan A,Option 1,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|Yes|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission",Yes|No|Yes|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,Yes|No|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,"No|Yes|No|No|Yes, United Nations|No|None|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
AFAN_OROMO,Never,Every day,Every day,A few times a week,A few times a month,1,0,0,0,5,3,2,2,Never,Never,Often,Never,Sometimes,Active member,Not a member,Not a member,Not a member,NA,Very likely,Not at all,Somewhat likely,0,10,10,Burjaajii Kara Facebook godhamu irraa Akka of eeggataniif gorsuu,1,2,3,Strongly disagree,I agree with A,I agree with B,I agree with B,Strongly disagree,Strongly disagree,Never,Never,A lot,A lot,I agree with A,I agree with B,I agree with B,Frequently,Always,Would not care,Would not care,Sometimes,Very frequently,Never,Never,Not at all,Some,Some,Just a little,4,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,Yes,Government B,Government B,Plan A,Plan A,Option 2,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","No|Yes|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","Yes|No|No|No|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",No|No|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,No|No|No|No|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-coethnic,0,TRUE,FALSE
EN,Never,Every day,Never,Every day,Never,0,0,0,0,0,0,0,0,Often,Often,Often,Sometimes,Always,Inactive member,Not a member,Not a member,Not a member,NA,Not likely,Somewhat likely,Very likely,1,10,10,None,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree strongly with A,Always,Always,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Just a little,Just a little,A lot,A lot,2,Business sector (private for-profit companies),"Yes, it has crossed my mind","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government A,Government A,Plan B,Plan B,Option 2,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",Yes|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,"No|Yes|Yes|Yes|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major political parties","No|Yes|Yes|Yes|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|Yes|Yes|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-coethnic,0,TRUE,FALSE
EN,A few times a month,A few times a week,Every day,Every day,Never,0,0,0,1,0,0,0,1,Sometimes,Never,Never,Sometimes,Sometimes,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,4,9,8,I haven't participated in any civic or political activity since June 20 because of the lack of time,1,2,3,Somewhat disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree with B,Never,Never,Would not care,Would not care,Very frequently,Sometimes,Very frequently,Very frequently,A lot,A lot,A lot,A lot,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government B,Plan B,Plan A,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","No|Yes|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties",No|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,No|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,No|No|No|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,A few times a week,A few times a week,A few times a week,Every day,A few times a week,NA,NA,NA,NA,NA,NA,NA,NA,Never,Never,Never,Sometimes,NA,Not a member,Not a member,Not a member,Inactive member,Not likely,Not at all,Very likely,NA,NA,3,8,I have attended a meeting about the upcoming national dialogue .,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree strongly with B,NA,NA,Would not care,Strongly like,Very frequently,Sometimes,Sometimes,Very frequently,A lot,A lot,NA,A lot,2,Politics (pursuing elected office or working for a campaign or political party),"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government A,Plan B,Plan A,Option 1,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|No|Yes|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,No|No|No|Yes|No|Yes|None|Appointed by Dialogue Commission,Yes|No|Yes|No|No|No|None|Appointed by Dialogue Commission,"Yes|Yes|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
EN,Never,A few times a week,Never,Every day,Never,0,0,0,0,0,0,0,0,Sometimes,Never,Sometimes,Often,Often,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,4,7,6,I didn't participate in any civic or political activities.,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree strongly with B,Frequently,NA,Would not care,Would not care,Sometimes,Very frequently,Never,Never,Some,Some,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government B,Government A,Plan A,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,Yes|No|No|Yes|No|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties,"Yes|Yes|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties",No|No|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss,1,FALSE,FALSE
EN,Less than once a month,Every day,Less than once a month,Every day,Never,0,0,0,0,1,1,0,0,Sometimes,Sometimes,Often,Sometimes,Sometimes,Active member,Prefer not to say,Prefer not to say,Inactive member,NA,Very likely,Not likely,NA,1,8,8,NA,3,2,1,Strongly disagree,I agree strongly with B,I agree with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with B,I agree strongly with A,Frequently,NA,Would not care,Would not care,Sometimes,Very frequently,Never,Never,Just a little,Some,NA,NA,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,NA,NA,Government A,NA,NA,,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|No|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",Yes|Yes|Yes|No|No|No|None|Appointed by Dialogue Commission,"No|No|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",Yes|No|Yes|Yes|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,Never,A few times a month,Never,Every day,Never,0,0,2,0,0,0,0,0,Often,Never,Sometimes,Often,Sometimes,Active member,Not a member,Not a member,Inactive member,NA,Not at all,Not at all,NA,6,10,8,I haven't participated in any related activities recently. I am planning to do so in this year though.,3,2,1,Strongly disagree,I agree with B,I agree with B,I agree with A,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,Some,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government A,Government A,Plan A,Plan B,Option 1,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,No|Yes|Yes|No|No|Yes|None|Appointed by a panel of leaders from all major political parties,"Yes|Yes|Yes|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties","Yes|Yes|Yes|Yes|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major ethnic groups",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,Never,A few times a week,Never,Every day,Never,0,0,0,3,0,0,0,1,Often,Never,Never,Often,Sometimes,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,0,10,10,I ain't participate in my school but i got one time Voluntary Job at my town which brings me an opportunity to meet with people who live my town. The job was helping arranging people around bus station due this traffic crowdedness.,3,1,2,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with A,Frequently,Never,Somewhat like,Would not care,Very frequently,Very frequently,Sometimes,Sometimes,Some,A lot,Some,Some,4,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",Yes,Yes,Government B,Government B,Plan A,Plan A,Option 1,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|Yes|Yes|No|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","No|No|Yes|Yes|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",Yes|No|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,"Yes|No|Yes|No|Yes, African Union|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain-resource,0,FALSE,TRUE
